id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-10,m2-m2-M2-P4-M2-P5,"1 1 2 5 2 7",6-10I,6-23I,false,,6-8,24,false,36,11
6-10I,P4-M7-M7-m7-P5-m7,"5 11 11 10 7 10",6-10,6-23,false,,6-8,24,false,108,11
6-11,m2-m2-M2-P5-M3-m3,"1 1 2 7 4 3",6-11I,6-15I,false,,6-9,24,false,36,11
6-11I,P4-m6-M6-M7-M7-m7,"5 8 9 11 11 10",6-11,6-15,false,,6-9,24,false,108,11
6-12,m2-m2-M2-P5-m7-M6,"1 1 2 7 10 9",6-12I,6-39I,false,,6-10,24,false,60,11
6-12I,M2-m3-M7-M7-m7-P4,"2 3 11 11 10 5",6-12,6-39,false,,6-10,24,false,84,11
6-13,m2-m2-M2-M7-m6-P5,"1 1 2 11 8 7",6-13I,6-27I,false,,6-11,24,false,60,11
6-13I,m2-M3-P4-M7-M7-m7,"1 4 5 11 11 10",6-13,6-27,false,,6-11,24,false,84,11
6-14,m2-m2-m3-M3-m2-m6,"1 1 3 4 1 8",6-14I,6-28I,false,,6-12,24,false,36,11
6-14I,M3-M7-M7-M6-m6-M7,"4 11 11 9 8 11",6-14,6-28,false,,6-12,24,false,108,11
6-15,m2-m2-m3-M3-P5-M2,"1 1 3 4 7 2",6-15I,6-11I,false,,6-9,24,false,36,11
6-15I,P4-m7-M7-M7-M6-m6,"5 10 11 11 9 8",6-15,6-11,false,,6-9,24,false,108,11
6-16,m2-m2-m3-P4-P4-m3,"1 1 3 5 5 3",6-16I,6-16I,false,,6-13,12,true,36,11
6-16I,P5-P5-M6-M7-M7-M6,"7 7 9 11 11 9",6-16,6-16,false,,6-13,12,true,108,11
6-17,m2-m2-m3-P4-M7-M6,"1 1 3 5 11 9",6-17I,6-40I,false,,6-14,24,false,60,11
6-17I,m2-m3-M7-M7-M6-P5,"1 3 11 11 9 7",6-17,6-40,false,,6-14,24,false,84,11
6-18,m2-m2-m3-m7-m2-M2,"1 1 3 10 1 2",6-18I,6-9I,false,,6-7,24,false,36,11
6-18I,M2-M7-m7-M7-M7-M6,"2 11 10 11 11 9",6-18,6-9,false,,6-7,24,false,108,11
6-19,m2-m2-m3-m7-P5-m6,"1 1 3 10 7 8",6-19I,6-32I,false,,6-15,24,false,60,11
6-19I,M2-P4-M3-M7-M7-M6,"2 5 4 11 11 9",6-19,6-32,false,,6-15,24,false,84,11
6-20,m2-m2-m3-M7-P4-M6,"1 1 3 11 5 9",6-20I,6-37I,false,,6-16,24,false,60,11
6-20I,m2-P5-m3-M7-M7-M6,"1 7 3 11 11 9",6-20,6-37,false,,6-16,24,false,84,11
6-21,m2-m2-m3-M7-M7-m3,"1 1 3 11 11 3",6-21I,6-21I,false,,6-17,12,true,60,11
6-21I,m2-m2-M6-M7-M7-M6,"1 1 9 11 11 9",6-21,6-21,false,,6-17,12,true,84,11
6-22,m2-m2-P5-m2-m2-P5,"1 1 7 1 1 7",6-22I,6-22I,true,m2-m2-P5,,6,true,36,11
6-22I,P4-M7-M7-P4-M7-M7,"5 11 11 5 11 11",6-22,6-22,true,P4-M7-M7,,6,true,108,11
6-23,m2-m2-P5-M2-P4-M2,"1 1 7 2 5 2",6-23I,6-10I,false,,6-8,24,false,36,11
6-23I,P4-m7-P5-m7-M7-M7,"5 10 7 10 11 11",6-23,6-10,false,,6-8,24,false,108,11
6-24,m2-m2-P5-M2-M7-m6,"1 1 7 2 11 8",6-24I,6-33I,false,,6-18,24,false,60,11
6-24I,m2-M3-M7-M7-P4-m7,"1 4 11 11 5 10",6-24,6-33,false,,6-18,24,false,84,11
6-25,m2-m2-P5-P5-P5-P5,"1 1 7 7 7 7",6-25I,6-25I,false,,6-19,12,true,60,11
6-25I,P4-P4-P4-P4-M7-M7,"5 5 5 5 11 11",6-25,6-25,false,,6-19,12,true,84,11
